userId,original_cardId,recommended_cardId,similarity_score
1.0,4.0,51,0.966091783079296
1.0,4.0,97,0.966091783079296
1.0,4.0,36,0.966091783079296
2.0,71.0,50,0.9999999999999999
2.0,71.0,101,0.9999999999999999
2.0,71.0,157,0.9999999999999999
3.0,71.0,50,0.9999999999999999
3.0,71.0,101,0.9999999999999999
3.0,71.0,157,0.9999999999999999
4.0,71.0,50,0.9999999999999999
4.0,71.0,101,0.9999999999999999
4.0,71.0,157,0.9999999999999999
5.0,17.0,190,0.9486832980505138
5.0,17.0,53,0.9428090415820634
5.0,17.0,130,0.8819171036881966
6.0,19.0,178,0.9999999999999998
6.0,19.0,14,0.9999999999999998
6.0,19.0,29,0.9999999999999998
7.0,17.0,190,0.9486832980505138
7.0,17.0,53,0.9428090415820634
7.0,17.0,130,0.8819171036881966
8.0,4.0,51,0.966091783079296
8.0,4.0,97,0.966091783079296
8.0,4.0,36,0.966091783079296
9.0,4.0,51,0.966091783079296
9.0,4.0,97,0.966091783079296
9.0,4.0,36,0.966091783079296
10.0,4.0,51,0.966091783079296
10.0,4.0,97,0.966091783079296
10.0,4.0,36,0.966091783079296
